Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity
2018-11-06,1,United States,Trip Verified,"""the most inconsiderate airline""","Flew Manila to Tokyo. Jetstar Airways, the most inconsiderate airline I have experienced, I’ve been flying a lot every year in the last 20 years both personal and job related and the ground crew in Tokyo are the rudest and most inconsiderate crew I have ever dealt with. I wil never fly with this airline again.",,Family Leisure,Economy Class,Manila,Tokyo,,October 2018,1.0,1.0,1.0,1,no,,,
2018-11-06,7,Australia,Trip Verified,"""impressed with the customer service""","I was flying from Melbourne to Tokyo via Cairns last month with Jetstar and it went fairly well. Unfortunately upon landing into Cairns we were told that our connecting flight on to Tokyo had been cancelled due to a bird strike on the aircraft. I must say the ground staff at Cairns handled the cancelled flight really well and professionally and I was pretty impressed. I was accomodated onto the next flight for Japan, which was within two hours, and was even able to get a coffee and cake at the cafe inside while I was waiting. The only problem was I had to go to Osaka airport instead of Tokyo (I've lived in Japan for over two years so I at least knew what I was in for) The problem I did have though was when I tried to claim the unexpected costs of transferring back to Tokyo once I arrived. I chatted to staff online and they were brilliant, very understanding and professional the entire time. Even when I had to explain the situation a few times to different people. Once I had a manager assigned to my case it was resolved within a few days. I was really impressed with how the situation was resolved with minimal fuss. I believe the IM function on the website is an excellent addition to their customer service toolbox and made contacting them while overseas really painless. I am really impressed with the level of customer service I recieved from everyone throughout the journey and helping with my issues. I would definitely recommend travelling internationally with them again. The flight itselft was great, the new Boeing 787 that operate the Australia to Japan routes are amazing, quite spacious (I'm 187cm tall), comfy and clean.",Boeing 787,Solo Leisure,Economy Class,Melbourne,Tokyo,Cairns,October 2018,4.0,3.0,4.0,4,yes,3.0,,
2018-11-05,1,Australia,Trip Verified,"""Horrible quality airline""","Brisbane to Melbourne. Horrible quality airline with no food and low quality everything, which would be ok, but at the airport and gate you will be harshly checked and overcharged for everything - I just paid $60 for less than 1 kg overweight together with everything. Cheap, if it’s sharks like Jetstar, cost me at the end more expensive than nice quality Qantas.",,Solo Leisure,Economy Class,Brisbane,Melbourne,,November 2018,2.0,1.0,1.0,1,no,,,
2018-10-25,1,New Zealand,Not Verified,"""Received no email""","Booked with Jetstar 3 days before my flight. Received no email with confirmations or anything, no itinerary no nothing. Checked again later and still nothing. On the day I had to buy new flights with Air NZ because I couldn't confirm I had a booking with Jetstar. Called for a refund and spoke to a potato of a human that had no idea he was at work, no refund, no English, no service.",,Business,Economy Class,Auckland,Christchurch,,October 2018,,,,1,no,,,
2018-10-25,1,United States,Trip Verified,"""ruined a great visit to Australia""","Sydney to Auckland. No online checkin for our flight. My wife and I have been traveling internationally for a week. We are departing Sydney to New Zealand and the ticket agent tells us we have no baggage allowance and we will have to pay $350+ for one checked bag (15 kilos) plus excess for carry on bags. My wife and I spend 40+ minutes frantically spreading things around, wearing a couple of layers of clothes and throwing away gifts for our kids. We then go to another person to pay or excess fees and are told we don’t have to pay it and our ticket includes one bag for each passenger at 23 kilos each. By this time our checked bag is gone so we can’t add anything back in, my wife is in tears and I’m mad as heck. We have no recourse as we are heading back to the US. The only thing the ticket agents offered was a food voucher. Not even an upgrade to an exit row seat for gosh sakes! I’m highly disappointed and unfortunately this airline has ruined what had to this point been a great visit to Australia. This airline is worse than Spirit Airlines in the US.",,Couple Leisure,Economy Class,Sydney,Auckland,,October 2018,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2018-10-25,1,Australia,Trip Verified,"""definitely not recommend""","Bali to Melbourne. I booked my flights to and from Bali with Jetstar. Both directions my partner and I were forced to sit seperately. After speaking on the phone and in person, I was denied to change seats so that we were able to be together. I am a terrible flyer and was in tears at the airport for an hour before our flight. Will never fly again, and would definitely not recommend.",,Couple Leisure,Economy Class,Bali,Melbourne,,October 2018,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2018-10-23,1,Australia,Not Verified,"""email cancelling my flights""","Melbourne to Adelaide. When you book with Jetstar, please think twice! I booked my return flights with Jetstar to Adelaide early with a special price of $104 return. Thought I got a good deal. Have my travel planned and organised. As travel date coming near, they send me an email cancelling my flights giving me limited options of other flight or refund. This happens twice already. In order to arrive on time for a wedding, we have to refund and book last minute with Virgin at over $170 just one way. Everybody, I would rather book earlier with an airline that is reliable than being put in such position of being ripped off, getting a ticket last minute. After I witness this ""sudden cancelling"" situation twice within the past 4 months, I never recommend anyone to book with Jetstar, since their ""so called"" promotional deals is cloud without rain, giving promise of the gift they doesn't realise.",,Couple Leisure,Economy Class,Melbourne,Adelaide,,October 2018,1.0,1.0,1.0,1,no,,,
2018-10-22,1,United States,Not Verified,"""never again have my business""","First time Jetstar flyer, was not aware of such a strict carry-on baggage weight limit. Flight from Cairns to Sydney was delayed in departure, and scales were brought out in a rush. I was first in line. Agent said I had to pay $60 fee for excess carry-on. Thinking we were boarding immediately, I had no choice but to pay $60. However, the flight still didn’t go due to aircraft malfunction. Subsequently, a 3.5 hour delay and a new aircraft. In the interim, I unloaded items from my bag bringing the weight down to 7 kg or less. Thought bags would be re-weighed when a flight was rescheduled and I would be entitled to a refund. Rush again to board the delayed flight at another gate. Bags were not weighed for that flight. I asked agent for a refund of my $60 cash because I was boarding the aircraft with less than 7 kg. She said contact Customer Service upon arrival in Sydney. The kiosk was unstaffed in Sydney. Emailed Customer Service and was told no refund was possible. I asked for different compensation such as an upgrade or meal voucher for my next flight 3 days later. Not possible, they said, because it was a separate booking. Totally unwilling to mitigate the circumstances, even when the flight was 3.5 hours late departing Cairns, and even though my carry-on luggage was not in excess of 7 kg upon departure. Bum deal, JetStar. You will never again have my business.",A320,Solo Leisure,Economy Class,Cairns,Sydney,,October 2018,2.0,2.0,1.0,1,no,1.0,1.0,1.0
2018-10-21,2,New Zealand,Trip Verified,"""okay for them to muck you around""","Jetstar cancelled my 10am then 1pm flights, then tried to throw me on the 21.30. I called to rebook for the following day and they said if I change again I'll be charged! Seems it's okay for them to muck you around but if you can't fit in then they bill you.",,Solo Leisure,Economy Class,Wellington,Auckland,,October 2018,1.0,1.0,1.0,3,no,1.0,1.0,2.0
2018-10-16,3,Australia,Trip Verified,"""no refund was possible""","Melbourne to Sydney. The flight was cancelled and Jetstar’s refund terms limit your ability to make other options. The return flight was not until the next afternoon, costing me a day’s work. I paid for premium seating but the staff member sitting next to me got the window seat and felt like playing loud YouTube clips without earphones. I was told a refund would be possible but following up a week later they said because I took the flight home no refund (even partial for the inconvenience) was possible.",,Business,Premium Economy,Melbourne,Sydney,,October 2018,2.0,1.0,1.0,2,no,1.0,1.0,1.0
2018-10-15,1,Australia,Trip Verified,"""prepare for a longer delay""",Constant delays as we have experienced yet again can only mean that either the maintenance being performed on these aircraft are substandard or the operational side of the airline is substandard. Four hours late arriving for a wedding in Denpasar Bali though part of this issue was not caused by Jetstar. And now we are sitting in the airport in Bali waiting to leave and a minimum five hour delay though they are telling us to prepare for a longer delay. No airline should be allowed to operate with these constant engineering and or mechanical delays.,,Couple Leisure,Economy Class,Denpasar,Perth,,October 2018,2.0,2.0,2.0,1,no,,,
2018-10-15,1,Australia,Trip Verified,"""No apologies offered""","Given our recent experience with Jetstar, this airline doesn't deserve a rating (can you give a negative score?), it was shocking. Our flight from Uluru was scheduled to depart at 12.55. Before leaving our hotel we received a text saying flight departure changed to 15.00. On arrival at the airport, advised departure now 17.30. (Given a $7 voucher for our inconvenience). Further announcement, departure now expected to be 18.30 (given another $7 voucher). By this time the only cafe at the airport had run out of all food. Later advised flight expected to depart 19.30. Plane arrived around 19.30, by the time we got airborne it was 20.15 approx. Got to my house in Melbourne around midnight instead of 4.30pm. No apologies offered by Flight Captain or Aircrew. (Our flight to Uluru from Melbourne was also delayed 3 hours).",A320,Couple Leisure,Economy Class,Uluru (Ayres Rick),Melbourne,,August 2018,3.0,3.0,2.0,1,no,1.0,,
2018-10-15,4,Australia,Trip Verified,"""haven't received any response""","Jakarta to Singapore, 9 Oct 2918 the Jetstar Airways flight QF5204 was delayed for about 50 minutes due to computer problems. We finally departed Jakarta at about 4:00 pm local time and when we arrived Singapore, it already almost at 7:00 pm Singapore time. The crew didn't inform passengers at all about how we are going to catch our connecting flight to Sydney with 7:30 departure schedule. We were just instructed to go directly to Gate D46 from the arrival at Gate C24. It was quite far. My wife with her back problems and knee weakness have to follow me to run as quickly as we could. When we arrived at Gate D46 it was already closed. We were instructed to go to the transfer desk to take another flight which is QF2. It's good that we still have another flight. But why the crew with QF5204 didn't tell us about this once we exit the plane on Gate C24?  It was really a outright ignorant of Qantas. Even after I wrote the same complain in their website, till now I haven't received any response.",A320,Couple Leisure,Economy Class,Jakarta,Singapore,,October 2018,3.0,3.0,1.0,2,no,2.0,4.0,2.0
2018-10-15,4,United States,Trip Verified,"""felt entirely disrespected""","Brisbane to Cairns. I have flown Qantas many times and expected their sister airline to have some of the same polish and class but on that score it failed. The process used to check in could not have been more confusing and frustrating. I was over weight on baggage and the process to purchase additional kilos required visiting not one but two additional desks and then waiting in line again to check the baggage. Why does it have to be so complex? Could this airline do anything more to make a passenger feel like an object without value? The flight itself was uneventful and comfortable enough but after the difficulties checking in and paying for additional baggage (the fees were excessive and made this anything but a ""budget"" flight), I was frustrated, angered and felt entirely disrespected by the airline. I will try my best to avoid Jetstar in the future.",A320,Business,Economy Class,Brisbane,Cairns,,September 2018,4.0,3.0,1.0,2,no,3.0,,
2018-10-10,1,Singapore,Trip Verified,"""worst airline I have flown""","Melbourne to Sydney. Jetstar is by far the worst airline that I have ever flown with. Extremely unprofessional and rude ground staff, long delays, very bad organisation, dirty planes. Don’t ever waste your time and money flying with this airline.",A320,Family Leisure,Economy Class,Melbourne,Sydney,,October 2018,1.0,1.0,1.0,1,no,,,
2018-10-08,1,Australia,Trip Verified,"""Very below par airline""","Very below par airline! They cancelled my flight that was booked from Cairns to Melbourne on Sept 27th 2018. Wouldn't refund me and wouldn't change my flights without having to pay ""the change flight fee"" As I am a mad Westcoast Eagles supporter who had tickets to the AFL grand final that weekend and to the footy show for that night. The flight was cancelled in that morning, there was no way I was going to miss out. I was then forced to book a new flight that day with Tiger airways. At a cost of $400!! I tried everything and was on the phone for an extensive amount of time. All I asked was for at least a refund as I had to rebook another flight. Will never fly with Jetstar again! Very disappointing from a very below par airline.",,Couple Leisure,Economy Class,Cairns,Melbourne,,September 2018,,,1.0,1,no,,,
2018-10-07,1,India,Trip Verified,"""rude customer service""","Melbourne to Sydney. Horrible, rude customer service. I've flown budget airlines in India, US and Europe. Nowhere are the airline employees as rude as this airline. They let some customers through with 1 or 2 kgs extra weight ahead of me in my line. Saw an Indian passport and made it a point to reduce the weight to 10kgs, not a gram more. This was given the fact that I was carrying 10 lithium polymer battery is weighing 6 kgs which I had no option to check in. Avoid this airline at all costs.",A320,Business,Economy Class,Melbourne,Sydney,,October 2018,1.0,1.0,1.0,1,no,,,
2018-10-05,1,Australia,Not Verified,"""Obviously they don't care""",Cairns to Sydney. The ground staff of Jetstar was extremely rude and unprofessional. Poor manners and attitudes. Submitted complaint to Customer Care Team did not reply. Followed up with Live Chat. Not helpful at all. They just tried to brush you off. Obviously they don't care.,,Couple Leisure,Economy Class,Cairns,Sydney,,October 2018,2.0,2.0,1.0,2,no,,,
2018-09-27,10,Australia,Trip Verified,"""I got what I paid for""","The flight was on time as was the return trip. Cant complain with the airline. The only issue I had was the legroom in economy as I am over 6 foot, but its pretty much the same for every airline these days. No IFE so you have to bring your own or a book like I did. Any food or drink purchases are by card only, so beware they don't take cash. All in all I got what I paid for knowing its a budget airline (I paid extra for baggage and to choose my seat) and would fly them again.",A320,Couple Leisure,Economy Class,Sydney,Queenstown,,July 2018,3.0,3.0,5.0,4,yes,,,
2018-09-23,10,United States,Trip Verified,"""flight overall was good""",I travelled on Jetstar JQ174 from Christchurch to Melbourne. I was able to check in three hours before departure at 6pm at the automated machines. Unfortunately Customs & Immigration was closed until 7:30pm. Missed the business lounge and had to make do with Burger King. On boarding I was the first person to board as they called the back of the aircraft first and a was seated next to the gate. Had a spare seat between my next passenger. The flight overall was good.,A320,Solo Leisure,Economy Class,Christchurch,Melbourne,,August 2018,5.0,5.0,5.0,5,yes,,,
2018-09-23,10,United States,Trip Verified,"""a little delayed""",I travelled on JQ524 Jetstar from Melbourne to Sydney on 19th August. I was given and exit row when I checked in on the automated machines. We were a little delayed into Sydney as they could only use one runway due to high winds. I always try and fly Jetstar.,A320,Solo Leisure,Economy Class,Melbourne,Sydney,,August 2018,5.0,5.0,5.0,5,yes,,,
2018-09-23,10,United States,Trip Verified,"""like flying Jetstar whenever I can""",Travelled from the Gold Coast to Cairns with Jetstar. I love the Gold Coast airport as it is small and you cannot get lost. Had a Burger King breakfast which was nothing special. The flight was uneventful. We had to board via walking across tarmac but that was no problem. I like flying Jetstar whenever I can.,A320,Solo Leisure,Economy Class,Gold Coast,Cairns,,August 2018,5.0,5.0,5.0,5,yes,,,
2018-09-20,2,Canada,Trip Verified,"""worst service at the counter""","Auckland to Sydney. I had the worst service at the counter, staff tone to me was as of a robot. I was talked down to and disrespected. Will never fly Jetstar again and will refer everyone away from using it",,Solo Leisure,Economy Class,Auckland,Sydney,,September 2018,1.0,2.0,1.0,1,no,,,
2018-09-19,1,Singapore,Trip Verified,"""Don't ever book Jetstar""","I've made a reservation on Jetstar from SIN-TPE on 11/6/18, 1.10am. 13/9/18  Received email notification from Jetstar on flight delay to 9.55am. Contact Jetstar via live Chat to reconfirm details. Proceed to reschedule all the arrangement, paid penalty for hotel and tour amendments. 17/9/18 Received email reminder for the flight to TPE. Noticed the flight timing indicated as 1.10am (no notification was received on the change of flight timing). Called Jetstar Hotline to reconfirm on flight timing. Call centre was not sure of the timing. Throughout the 30min conversation, the agent told me 3 different timing for my flight and finally confirmed that it is changed back to 1.10am. Again, I proceed to reschedule all the travel arrangement and paid for amendments fees. 18/9/18, 10 hours before the flight, received an SMS notification that flight was delayed to 9.55am. Called hotline again and the 1hr 30min calls was hell. Spoke to 2 different agent and non was sure on the exact timing. First told me it's changed to 9.55am, and next moment tell me there's no change and the flight is at 1.10am. As of now, I am not even sure if the trip will happen as promised. Not sure if it'll suddenly change to 1.10am again and I am not being informed. It's true that the t&c for budget airline mentioned that it's subject to changes, but 3 changes for a flight is too much when there's no natural disaster whatsoever. The call centre advised me that it's simply due to ""operational requirement"". Customer have to suffer because of their changes in ""operational requirement"", Don't ever book Jetstar again!",,Family Leisure,Economy Class,Singapore,Taipei,,July 2018,,,,1,no,,,
2018-09-14,1,Australia,Trip Verified,"""my flight was cancelled""","Melbourne to Sydney. Flying out from Melbourne for family emergency in Sydney. Flight delayed by over 3 hours. Whilst we were told that there are technical issues, no time frames as to resolution. I would've thought the company of this size would have business continuity plan in place for situations like this. Apparently not. As we were waiting to learn our faith that morning, another 4-5 flights have been delayed. As I was getting ready that same night to fly back to Melbourne, I received a message that my flight was cancelled, less than 2 hours before planned departure and was only accommodated the following morning, arriving to Melbourne after 10am. And what did JetStar say on all of that: ""sorry"".",,Solo Leisure,Economy Class,Melbourne,Sydney,,September 2018,2.0,5.0,1.0,1,no,,,
2018-09-12,2,United States,Trip Verified,"""lost our car seat""","Sydney to Auckland. Jetstar lost our car seat and refused to accept any responsibility. Agent at Sydney airport had horrible customer service and we have yet heard back a response from Jetstar after we filed a complaint. On Aug 25, 2018, we were checking in for our flight JQ201 from Sydney to Auckland when we encountered likely the worse customer service of all of my 20 years of traveling experiences. There was a long waiting line to check in at the counter that morning. First question the agent asked of us was ""which one of you can speak English?"". I thought that was rude. We are Asians in appearance but both my husband and I are physicians from the USA.  As she was printing our boarding passes and luggage tags, she said she could see that we paid for two checked-in bags but she could not locate which passengers they were paid under, therefore she still had to charge us for the two checked in bags. I said I had the receipt for the paid checked-in bags. She looked through the computer again and said she still had to charged me for the two checked in bags. I could not believe it! It does not make any sense. I said I was not going to pay again because she could not find it. It is a form of incompetence. She then said ""I am not going to serve you anymore. You have to go to someone else."" and left me there standing. She did not tell me where to go initially. She was clearly doing that to delay my check-in process as a punishment and aggravates my anxiety as the flight departure time was approaching. I then requested to speak to her supervisor. Her supervisor was better but obviously not well trained for customer service (did not display ability to de-escalate the situation). But she figured out the problem was the car seat. Apparently the agent does not know that. She needs to be trained better but that is the least of her problem. Jetstar lost our car seat on the same flight which we learned about we got to Auckland. No one contacted about our car seat for a few days until we got back to San Francisco, USA. We had to buy a new car seat as a result. We contacted them for reimbursement but they refused.",,Family Leisure,Economy Class,Sydney,Auckland,,August 2018,1.0,1.0,1.0,1,no,,,
2018-09-07,5,Australia,Trip Verified,"""be cautious if you are on a schedule""","Gold Coast To Sydney. A delay of 2 hours because of an engineering problem that had no time limit until it was fixed. Once boarding finished, it was a quick getaway to make up some time. Inflight service and IFE was non existent, Jetstar is a LCC. We landed 2 hours late, so no time was made up during the flight time. I would advise anyone flying on LCC to just be cautious if you are on a schedule, otherwise delays happen and you will eventually arrive at your destination.",A320-200,Solo Leisure,Economy Class,Gold Coast,Sydney,,August 2018,3.0,3.0,2.0,3,yes,,,
2018-09-06,10,New Zealand,Trip Verified,"""Great service and great price""",Check in great. On time departure with an almost full aircraft both ways. Hawkes Bay airport are not helpful giving Jetstar a gate way out of the way. Could be much closer to the terminal as Jetstar was the only aircraft on the tarmac. Great service and great price.,,Couple Leisure,Economy Class,Napier,Auckland,,August 2018,3.0,2.0,5.0,5,yes,,,
2018-09-02,1,Australia,Not Verified,"""delayed 4 hours""","Flew Jetstar Airways from Newcastle to Brisbane. Terrible, first flight was delayed 4 hours and they did not contact or notify us at all. Then the return flight was cancelled and again no contact at all. Luckily we thought to ring and check. If I could rate this lower, I would. Never again!",,Couple Leisure,Economy Class,Newcastle,Brisbane,,September 2018,1.0,4.0,1.0,1,no,,,
2018-08-24,1,Australia,Trip Verified,"""will never fly with them ever again""","Flew Melbourne to Brisbane. Charged $60 for being 150 grams over their 7kg allowance and had to put up with a rude member of staff tell me that If I don’t want to pay I can stay in the airport! I will never fly with them ever again, companies like Jetstar who prey upon their customers and at the same time be so rude need to be sent a loud message!",,Solo Leisure,Economy Class,Melbourne,Brisbane,,August 2018,4.0,3.0,1.0,1,no,,,
2018-08-15,1,Australia,Trip Verified,"""airline is cheap and nasty""","Brisbane to Sydney. Staff and rude, pushy and aggressive. This airline is cheap and nasty. Planes are uncomfortable and dirty. Although flights aren’t considerable cheaper than other airlines, they look for ways to charge extra at every point of the trip (baggage weight, food purchases, charity donations). Fly this airline as a last resort.",,Solo Leisure,First Class,Brisbane,Sydney,,August 2018,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2018-08-13,10,United States,Trip Verified,"""a great flight.""",Flew Cairns to the Gold Coast on 31st July on Jetstar. My seat was 1B and I had to agree to help in an emergency. We were delayed and a new aircraft was called into service causing a three hour delay. Overall a great flight.,,Solo Leisure,Economy Class,Cairns,the Gold Coast,,July 2018,5.0,4.0,5.0,5,yes,,,
2018-08-12,4,United States,Trip Verified,"""inconsiderate staff""","Christchurch to Gold Coast. This is not a good airline with inconsiderate staff in Christchurch, NZ specifically. Being from the US, I wasn't aware of the fact that even flights between NZ and AU are considered domestic. So, in order to mooch off of the passengers they have this annoying rule of 7kg carry on only. Its unbelievable that the airport treats you like an international passenger but the airlines treat you like a domestic traveler. Their scales obviously are manipulated and they charged me $75 for being over 7kg. I went in winter time so, obviously I had heavier clothing. In their flights, they don't serve anything coz again to save their money, it's a domestic flight. Such unfair practices just to charge international passengers unnecessarily. If customer service is something they cared about they wouldn't be treating us like this.",,Family Leisure,Economy Class,Christchurch,Gold Coast,,August 2018,3.0,2.0,1.0,2,no,1.0,1.0,1.0
2018-08-12,10,United States,Trip Verified,"""a very comfortable flight""",On 9th August I flew from Wellington to Christchurch on Jetstar. It is only a 38 minute flight but it enables one to travel between the two main islands of New Zealand. I checked in online without any trouble. I was offered a snack and water in advance for about 6 dollars but declined as it was such a short flight. I had coffee in the terminal before as I arrived early. Overall a very comfortable flight. Sky bridges were used in both directions as I was seated in in the front of the aircraft in seat 10C.,A320,Solo Leisure,Economy Class,Wellington,Christchurch,,August 2018,5.0,5.0,5.0,5,yes,,,
2018-08-09,10,Hong Kong,Trip Verified,"""surprised with the experience""","Adelaide to Sydney. They operate like a full service airline. The cabin is stunning and they provide almost full service throughout the whole journey, only complimentary food was not provided. Ground staff was very friendly. Cabin staff look friendly as well. Safety demonstration was professional. I was really surprised with the experience.",A320,Couple Leisure,Economy Class,Adelaide,Sydney,,August 2018,4.0,4.0,5.0,5,yes,,,
2018-08-08,4,United Kingdom,Trip Verified,"""I’d choose other carriers""","Denpasar to Perth. The flight left on time and the aircraft had recently been refurbished as the seats were clean and everything had a new feel. As JetStar is a low cost carrier, you must buy food and drinks on board (it should be noted that no drinks bought in the airport can be brought onboard the Perth flight as they search you again at the gate). The selection was very good but the prices were quite high for what it was so I’d recommend getting snacks before you get onboard. Crew weren’t overly friendly and seemed quite rushed. The seats only have a pitch of 29 inches which was just adequate for someone over 6 feet tall. I think that on a flight over 3:30 would become uncomfortable in the confined space. The flight landed about 25 minutes late and it took forever to get off the plane. For a low cost airline it was fairly average and next time I’d choose other carriers on this route.",A320,Family Leisure,Economy Class,Denpasar,Perth,,August 2018,3.0,2.0,3.0,3,no,1.0,,
2018-08-05,1,New Zealand,Not Verified,"""delayed heavily or cancelled""","Wellington to Dunedin. I've taken a few flights with Jetstar and aftet today I feel it's time to write a review. If you're looking for a reliable airliner, Jetstar is not it. Every single flight with Jetstar this far has either been delayed heavily or cancelled. I've lost hundreds of dollars in accomodation and rental bookings which I'm told won't be refunded. Don't tell me it's bad weather, the weather is clear, what about the sophisticated instruments you have on board? The last time I fly with Jetstar. Just wasted half of my Sunday and then to be told it's cancelled. Staff are confused and uninformed as well. When compared to other airlines I've never had problems.",,Business,Economy Class,Wellington,Dunedin,,August 2018,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2018-08-04,10,United States,Trip Verified,"""it was a great flight""",Gold Coast to Auckland. On check in I was offered an exit row which I accepted. Boarding was ordered and not congested. Deplaning was fast. Pre ordered a muffin and coffee as a result of an email from Jetstar one day prior which was delivered the first round of the beverage service. I was just given a chocolate muffin without a choice. No big deal though. Overall it was a great flight. I fly Jetstar whenever possible.,A320,Solo Leisure,Economy Class,Gold Coast,Auckland,,August 2018,5.0,5.0,5.0,5,yes,4.0,,
2018-07-31,1,Australia,Trip Verified,"""obsession with baggage weight""",Adelaide to Perth. The obsession with carry on baggage weight that includes computer or handbag for a total weight of 7 kilos makes passengers paranoid and uncomfortable just in case they are 1 kilo overweight. This puts unnecessary pressure also on staff. Weighing hand luggage on boarding caused confusion and many customers complain. This is obviously a revenue raiser despite that they are concerned about safety. Get back to reality that's why your ratings are so low. Look at what the best low cost airlines do.,,Couple Leisure,Economy Class,Adelaide,Perth,,July 2018,2.0,2.0,1.0,2,no,1.0,1.0,
2018-07-31,1,Canada,Trip Verified,"""Won’t fly them again""","Hong Kong to Hanoi, supposed to be a short 2 hr flight but it’s already been delayed 2 hrs and it’s estimated that it’ll be 3 hours. The worst part is that didn’t inform anyone for a very long time so we’re all waiting around. There wasn’t even anyone at the gate desk for over an hr after the delay. Then we get switched gates and the girls that finally show up at the desk are pretty much just on their phones even when you walk up. Pretty much killed a day in my short stay in Hanoi. Won’t fly them again.",,Family Leisure,Economy Class,Hong Kong,Hanoi,,July 2018,1.0,1.0,1.0,1,no,,,1.0
2018-07-30,7,Indonesia,Trip Verified,"""adequate service from FAs""","I bought the Jetstar Airways ticket for this flight from Jakarta to Singapore last minute because I missed Scoot flight because of traffic at Jakarta Int'l airport. The ground staff was nice but boarding was chaotic. The flight itself was ok, adequate service from FAs. The flight arrived on time.",Boeing 737,Family Leisure,Economy Class,Jakarta,Singapore,,March 2018,4.0,4.0,4.0,4,yes,,,
2018-07-30,1,Australia,Trip Verified,"""Such a poor experience""","Sydney to Launceston. Such a poor experience with this airline, not only were we waiting in the baggage area for 40 minutes without any explanation but we were then left to go home without our luggage. The lack of communication was pathetic and to not have a replacement piece of equipment to remove baggage from the aircraft once the first failed is just pathetic. Yes they stated that the baggage would be delivered once it was removed from the aircraft within two hours, another fib, poor, very poor!",,Solo Leisure,Economy Class,Sydney,Launceston,,July 2018,1.0,3.0,1.0,2,no,1.0,1.0,1.0
2018-07-30,1,Australia,Trip Verified,"""not use Jetstar in the future""","Cairns to Sydney. I negotiated an exit row seat at checkin and 5 minutes before take off, I was advised that I and the others in my row had to change seats. I asked why and I was told that it is usually due to young families that need to be kept together. I said, no problem, and gathered up my things. As I was about to move to my next seat, which was much less appealing than my original seat, I saw the passengers who I had changed seats for. It was four men, middle aged. who had arrived late, and appeared to have been drinking. Not a young family, but some blokes that wanted to continue drinking together, and obviously had some friends at Jetstar who accommodated them. What a joke! This is not the way to be treat full fare paying passengers and I and my business will not use Jetstar in the future.",,Business,Economy Class,Cairns,Sydney,,July 2018,1.0,1.0,2.0,1,no,1.0,,
2018-07-22,1,Australia,Trip Verified,"""worse flight experience""","Phuket to Melbourne. I’ve never had a worse flight experience than what I experienced with Jetstar International. I flew from Melbourne to Phuket first and incurred issues with the staff. The service was absolutely horrible. Not once did staff walk through the cabin to offer water to passengers on a 9 hour flight, nor did they comply with our requests when we asked for water. I had to call staff multiple times over several hours before receiving a small cup of water. I also paid for comfort packs and received them two hours into the flight. The flight back to Melbourne from Phuket was delayed 6.5 hours making me miss my domestic flight back to Adelaide and requiring extra accommodation to be purchased. All the airline gave passengers for this inconvenience was a $20 food voucher when in reality, many, like myself paid $600+ due to their inconvenience. I would not recommend flying Jetstar under any circumstance. Staff do not seem to have any consideration toward passengers and overall service was appalling.",,Couple Leisure,Economy Class,Phuket,Melbourne,,July 2018,1.0,1.0,1.0,1,no,,,
2018-07-21,1,Australia,Trip Verified,"""become worse each year""","Don’t waste your money and time. Jetstar has increasingly become worse each year. We have had four flights cancelled. You end up paying more for accomodation when your flight is cancelled - once after a 12 hour wait, they wanted to send us back home! We had to argue to get a cheap, dirty accomodation organised near the airport. The next time another flight was cancelled and we were offered accomodation and we said, “NO”. Never trust where they put you. While waiting around at the airport you also spend so much money for food and lose your precious holiday time. Better to spend a little more and secure your holiday and business travels with other reliable airlines. The worst is the staff and clearly their lack of quality training. They have no desire to help you out, inform you promptly and show a compassionate attitude during cancellations. They are slow as turtles on land and couldn’t care less about customer care. We have had three flights cancelled due to engineering issues. Their aircrafts are unreliable and the engineers unable to deliver speedy and quality repairs. How can they have so many issues so often?? I feel scared to get on their planes. We will never fly with Jetstar again. Not only are the prices cheap - all other aspects of Jetstar is cheap. Don’t waste your money and time.",,Couple Leisure,Economy Class,Sydney,Tokyo,Gold Coast,July 2018,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2018-07-11,7,Australia,Trip Verified,"""seat was unbelievably tight""","Adelaide to Perth on the 14th of June with Jetstar Airways. Flew on a relatively new Airbus A320, when compared to some of the older ones in the fleet. Although I was seated close to the front (8D), the seat was unbelievably tight in terms of seat pitch, which is okay for shorter flights like Melbourne/Sydney, but for a longer flight I’d try and buy an exit row seat next time! Crew were okay, but nothing to write home about. The customer service manager wasn’t overly pleasant when she informed me of my $15 voucher (as I’d purchased a Starter Plus fare). I had purchased this fare for the bargain basement price of $99 (plus $45 for the starter plus bundle), so I can’t complain too much. It was good value for what I’d paid, but there are better airlines around for only a few quid more.",A320,Solo Leisure,Economy Class,Adelaide,Perth,,June 2018,3.0,3.0,4.0,5,yes,4.0,,
