Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity,Aircraft
2018-12-08,3,Canada,Trip Verified,"""no explanation nor updates""",Penang to Bangkok. Late and there is no explanation nor updates. This is the 2nd air asia flight in less than a week and both are delayed. It wasn't like this a few years back. Has it expanded too big and they cannot cope?,Couple Leisure,Economy Class,Penang,Bangkok,,December 2018,2.0,2.0,1.0,1,no,2.0,,,
2018-12-06,1,India,Trip Verified,"""Very unpunctual""",Bangalore to Chennai with AirAsia. Pathetic. Very unpunctual. Flight was delayed multiple times. Nearly 6 hrs delay to Chennai. If informed earlier could have caught a bus. Was travelling to meet a relative in critical condition.,Solo Leisure,Economy Class,Bangalore,Chennai,,December 2018,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
2018-11-25,7,United States,Trip Verified,"""they have so many rules""","Ubon Ratchathani airport to Don Mueang airport in Bangkok. The check in was simple the front desk personally was great and efficient. The security check point at airport was no hassle and simple. Overall my check in was fantastic. Cabin crew was quick and efficient with getting everyone ready and quick with serving all the meals. The only but I have about this flight or airlines was they have so many rules.  Specially seems like lot of rules now that they announced them in 3 languages, Thai, English, Mandarin Chinese.",Solo Leisure,Economy Class,Ubon Ratchathani,Bangkok,,November 2018,3.0,4.0,5.0,4,yes,3.0,,,
2018-11-19,1,India,Trip Verified,"""no space for your legs""","Bangkok to Jaipur. It becomes painful when you travel with your family, don't travel with small kids as this flight has no space for your legs. Very bad experience, my little kid and wife had a bad time for over four hours in this flight.",Family Leisure,Economy Class,Bangkok,Jaipur,,October 2018,1.0,2.0,2.0,1,no,,,,
2018-11-06,1,Malaysia,Trip Verified,"""not a good experience""",Kuala Lumpur to Langkawi. We didnt get our assigned seats as the plane was changed last minute. We were told to sit anywhere until they have everyone seated which meant we had to constantly get up to give up the seats. This was not a good experience. The staff did not apologise. One staff member got very rude to us and shouted at us to be patient. Our flight got delayed by 70 minutes. Will not be flying with them again that's for sure!,Couple Leisure,Economy Class,Kuala Lumpur,Langkawi,,November 2018,1.0,1.0,1.0,3,no,,,,
2018-11-06,1,Singapore,Trip Verified,"""unwilling to assist""",Singapore to Kota Kinabalu. Bad counter staff attitude on seating. Boarding pass error and staff was unwilling to assist. System error on web check in. Feedback casually sweeped under.,Couple Leisure,Economy Class,Singapore,Kota Kinabalu,,November 2018,2.0,1.0,1.0,2,no,1.0,1.0,1.0,AK
2018-11-05,3,Philippines,Trip Verified,"""lots of lies from AirAsia""","Cebu to Manila. Nearly 4 hours delayed. First it started with an email that the flight will be delayed due to further servicing then a second email on our way to the airport. However I heard at checked in counter desk a different reason that the assigned aircraft is not available but a new plane will be coming from Manila. And the lady at the counter told me that the plane will be further delayed. Once we passed security, we saw the departure screen was flashing further time of departure. So not sure who to believe anymore but I see lots of lies from AirAsia. This is the second time I actually experience this coming from Cebu so will try other airlines from now on and see who is better at keeping their time and also with communication consistency.",Family Leisure,Economy Class,Cebu,Manila,,November 2018,1.0,3.0,2.0,1,no,,,,
2018-11-05,4,Malaysia,Trip Verified,"""latest worst experience""","Jakarta to Kuala Lumpur. It was my latest worst experience with AirAsia. During check-in, baggage check-in was quite fast. In the new airport, it was comfortable and many lanes that open for passengers to check-in. However, the flight got delayed for an hour and additional another hour. AirAsia which know for its time accuracy got hit really bad with this one.",Solo Leisure,Economy Class,Jakarta,Kuala Lumpur,,October 2018,3.0,3.0,3.0,3,no,,,,
2018-11-04,7,Malaysia,Trip Verified,"""staff friendly and helpful""","Kuala Lumpur to Jakarta. Before I got into the gate, Airasia wasn't that strict with the baggage 7kg rule check, which is good. Boarding was quite efficient. It was quick and departed according to the time and staff were friendly and helpful.",Solo Leisure,Economy Class,Kuala Lumpur,Jakarta,,October 2018,3.0,3.0,3.0,3,yes,,,,
2018-11-04,9,Indonesia,Trip Verified,"""the best budget airline""","I think this is the best budget airline in south east Asia. The cabin crew was nice, ground handling is fast, good online check in platform, good customer service. I got no delay when I go to KL but when i back to Jakarta, I got delay around a hour but its ok. The seat is so so, food was good, no inflight entertainment. The ticket from Jakarta to Kuala Lumpur round trip is $30 cheaper than any domestic flight in Indonesia.",Solo Leisure,Economy Class,Jakarta,Kuala Lumpur,,January 2018,2.0,5.0,5.0,5,yes,4.0,,,A320
2018-11-01,1,Israel,Trip Verified,"""don’t fly with this company""",Chiang Mai to Macau. AirAsia ripped my suitcase after the flight and everything broken. I connect by AirAsia application and complain about it and I didn’t received any advise after one week. They ignoring me. Please don’t fly with this company.,Couple Leisure,Economy Class,Chiang Mai,Macau,,October 2018,3.0,3.0,1.0,1,no,,,,
2018-10-31,1,Singapore,Trip Verified,"""Flight delay is a norm""",Kuala Lumpur to Singapore. I have taken several flights from AirAsia. Flight delay is a norm. Had enough of flight delay from this airlines. The turnaround time for plane is just too short. One delay will have an impact on the downstream flight.,Solo Leisure,Economy Class,Kuala Lumpur,Singapore,,October 2018,1.0,2.0,1.0,1,no,,1.0,1.0,
2018-10-26,2,United States,Trip Verified,"""very upset and irritated""","Vientiane to Singapore via Bangkok. In Vientiane the check-in counter asked for $200 USD for 2 bags. That is airport/airline robbery. They said it was because we had booked a transfer but we booked from Vientiane to Singapore, they had the stopover in Bangkok included in the booking. I have flown hundreds of time on dozens of different airlines and never been charged for a transfer when the booking is with one airline through their website. Also the price is gross and disrespectful to their customers. My partner and I shuffled items around to fit into one checked bag, however, the whole process was horrible, ridiculous, and not customer friendly. I can't believe we had to pay $100 for one bag for one booking. I am very upset and irritated, I will never book with them again.",Couple Leisure,Economy Class,Vientiane,Singapore,Bangkok,October 2018,3.0,3.0,1.0,1,no,2.0,2.0,1.0,
2018-10-20,1,Australia,Trip Verified,"""worst customer support""","Kuala Lumpur to Johor Bahru booked to travel next week. They have the worst customer support, they ignore client when they answer you, they ask you to follow up with them after 5 days. I got problem in my account which was disabled, I contacted their support who answered me after long time them asked me to come back to them after 5 days, although they have all my contact details.",Solo Leisure,Economy Class,Kuala Lumpur,Johor Bahru,,October 2018,,,,3,no,,,,
2018-10-17,2,Indonesia,Trip Verified,"""I did not untick the box""",Bangkok to Bali. I recently booked a flight with Air Asia through their website. I was very careful to uncheck as many of the automatically checked add-ons during the check-out process. There was one add-on for travel insurance that I missed. I was subsequently charged for travel insurance when it was not something I intended to purchase. I wrote to them requesting a refund that they promptly informed me that it was not possible as I did not untick the box for travel insurance. Why on earth would they require a customer to untick an add-on rather than ask them if they would like an add-on and have them initiate the add-on with a tick? I am truly disappointed that this is how they operate.,Family Leisure,Economy Class,Bangkok,Bali,,August 2018,,,,2,no,,,,
2018-10-17,8,Singapore,Trip Verified,"""overall experience was better""","Short flight from Singapore to Kuching, midday flight on a Sunday. Flight was more than 50% empty, so obviously the overall experience was better. Boarding was on time and efficient, and crew were reasonably pleasant. For this short flight, I had paid for the first row of seats, and so legroom was aplenty. The A320 had obviously seen quite a lot of service, seats were clean but felt like the cushions had sagged a little. Halfway through the flight, was impressed that inflight connectivity (rokki) allowed reading of the AirAsia inflight magazine, brief travel guides, news and simple games on iPad, all for free. Impressive for a no-frills airline. Flight landed on time, and disembarkation was fuss free. If seat comfort was a tad better, this would be a 5-star low-cost airline flight.",Solo Leisure,Economy Class,Singapore,Kuching,,October 2018,3.0,4.0,4.0,4,yes,,4.0,,A320-200
2018-10-16,4,India,Trip Verified,"""missed connecting flight""",Hyderabad to Bali via Kuala Lumpur. Because of delay of flight from Hyderabad we missed connecting flight and received a poor response from AirAsia staff in Malaysia airport,Family Leisure,Economy Class,Hyderabad,Bali,Kuala Lumpur,October 2018,2.0,2.0,2.0,2,no,3.0,,,
2018-09-28,8,Hong Kong,Trip Verified,"""not hesitate to fly them again""","Denpasar to Hong Kong via Bangkok. This is my first time flying with Air Asia. I was apprehensive of the questionable standard since it's a budget airline which gives the bare minimum, but get you from A to B. I took the plunge and tried to return to Hong Kong from Bali with it. It was operated by Thai Air Asia. I booked fly+bag+eat combo, sat on front row seat. Check in at Bali airport was friendly and efficient. I am happy to report that the experience had been very positive. Crew were courteous and smiling. Ordered meals were promptly delivered, and it actually tasted ok. I like the fact that Air Asia makes no qualm about bringing outside food and drink on board for own consumption. Seat was bound in leather, well padded and comfortable for the 4 hour journey. There was a lay over of 2 hours in Bangkok old airport Don Muang, it was welcoming as one could stretch the legs and do some shopping, or eat a good meal before the 2nd leg. The same good standard of service continued for the next flight back home. I was able to check my bags through from bali to Hong Kong. Transit process was very simple and direction crystal clear. Upon arrival, my bags were one of the first to come out. The fly bag eat combo actually do include priority luggage, a really nice touch. I also noticed that the 2 flights left and arrived on time. Based on the good experience, I will not hesitate to fly with them again in future.",Solo Leisure,Economy Class,Denpasar,Hong Kong,Bangkok,September 2018,4.0,4.0,4.0,5,yes,3.0,,,A320
2018-09-26,10,India,Trip Verified,"""Excellent inflight service""","I had the best customer experience on this AirAsia flight flying from Manila to Cebu on 4th  September. Excellent inflight service and entertainment for the guests. Pleasant music played throughout the journey, food was very good plus an hitherto unseen entertainment for guests on flight. The airhostess(two of them) woke us all up by their energetic dance performance. This was followed by a quiz. Correct answers were awarded with AirAsia goodies. Perfect holiday experience.",Solo Leisure,Economy Class,Manila,Cebu,,September 2018,4.0,5.0,5.0,5,yes,5.0,5.0,,
2018-09-21,7,Malaysia,Trip Verified,"""Self-check in available""","Semarang to Kuala Lumpur. The flight departed from the new International airport in Semarang, which was great. Self-check in machines are available, which can cut down queue lines. Nevertheless, the line to queue to the plane was quite unmanageable.",Solo Leisure,Economy Class,Semarang,Kuala Lumpur,,September 2018,3.0,4.0,3.0,3,yes,,,,
2018-09-20,7,Malaysia,Trip Verified,"""it was a good flight""","Kuala Lumpur to Semarang. I was able to checked in earlier, 2 weeks before the departure time. The flight was on time from KL to Semarang, and apparently arrived 10 minutes earlier. Stewards were friendly to the passengers. It was a good flight for low-cost airline.",Solo Leisure,Economy Class,Kuala Lumpur,Semarang,,September 2018,3.0,4.0,3.0,3,yes,,,,
2018-09-18,10,Australia,Trip Verified,"""person highly recommended""","I missed my connecting flight from Kuala Lumpur to Penang, my own fault, reported my situation and was advised how to book next connecting flight and organise my retrieval of luggage, looking totally confused, I hastily took off to correct my mistake, hopefully. An agent caught up with me and explained it would be quicker and easier for him to organise.  He returned after a short period, having had to run from Gate K to Gate J and return with both my boarding pass and luggage ticket. I was so grateful as he had taken the initiative to go far and beyond his duties to fix my problem. This person should be highly recommended for advancement in the company as he put the company first for customer service which was so appreciated.",Solo Leisure,Economy Class,Kuala Lumpur,Penang,,September 2018,5.0,5.0,5.0,5,yes,,,,
2018-09-08,10,United Kingdom,Trip Verified,"""would definitely fly again""","Phuket to Hanoi via Bangkok. I wasn’t sure about AirAsia at first, but we had absolutely no problem. I am scared to fly, but it was a smooth ride. No food or entertainment provided, which was fine as it was under 2 hours flight. I would definitely fly again.",Family Leisure,Economy Class,Phuket,Hanoi,Bangkok,August 2018,4.0,5.0,5.0,5,yes,,,,
2018-09-07,1,United States,Trip Verified,"""they refused to refund""","Kunming to Bangkok. I booked my ticket with them well in advance and also pre-purchased baggage as it is cheaper to do so. I realized my ticket would be non-refundable if I had to cancel this flight, but I expected them to grant a credit with the airline for future flights. But they refused to refund any amount, even the baggage fees, and didn't grant any credit for future flights. This level of customer service is appalling.",Solo Leisure,Economy Class,Kunming,Bangkok,,July 2018,,,,2,no,,,,
2018-09-03,1,Vietnam,Trip Verified,"""let us sit separately""",Bangkok to Ho Chi Minh City. What a joke. My friend and I bought ticket together under 1 transaction. Airline let us sit separately when checked in. Reason: all seats are full. We bought ticket 4 months in advance. When they heard that they asked us to request the in-flight attendant. Of couse that didn't work and we ended up sitting separately. Bottom line: don't buy this airline if you travel in group.,Couple Leisure,Economy Class,Bangkok,Ho Chi Minh City,,September 2018,3.0,3.0,3.0,1,no,,,,
2018-08-30,1,Australia,Trip Verified,"""delayed by 3.5 hours""",Hyderabad to Melbourne via Kuala Lumpur. My flight scheduled at 11.50 pm and it delayed by 3.5 hours. I have a transit of 2.5hrs in Malaysia and need to catch flight to Melbourne which I can’t catch due to this delay. When I ask the counter person about the connecting flight they said the next connecting flight will be in 2.5 hrs after I landed in Malaysia. But when I went to transfer counter in Malaysia they said the next connecting flight is after 12hrs and gave me couple of meal vouchers. Obviously very poor customer service and most unreliable. Counter people are useless as they don’t have knowledge of the flight schedule. I requested them for  lounge entry which they rejected to give. I have spent $100 to book a room in the airport. Should reach Melbourne 8.00 pm local time and I reached next day morning 8.00 am and took day off from my work.,Solo Leisure,Economy Class,Hyderabad,Melbourne,Kuala Lumpur,August 2018,1.0,1.0,1.0,1,no,,,,
2018-08-26,1,United States,Trip Verified,"""charged me to check bag twice""",Ho Chi Minh City to Phuket via Bangkok. My round trip flight should have cost me $130. But I ended up spending a total of $270 because they charged me to check my bag twice. They charged me $40 to check my bag from Saigon to Bangkok (a 3 hour layover) and then $57 from Bangkok to Phuket. They said they couldn’t let my bag go all the way to Phuket from Saigon for some odd reason.  Do yourself a favor and avoid.,Solo Leisure,Economy Class,Ho Chi Minh City,Phuket,Bangkok,August 2018,1.0,1.0,1.0,1,no,,,,
2018-08-26,9,United Arab Emirates,Not Verified,"""the service was good""",Ranchi to New Delhi. Good service. Even though its a lost cost airline but the service was good. Professional staff and well mannered. Aircraft was pretty neat and clean with good aroma through out the journey.,Business,Economy Class,Ranchi,New Delhi,,August 2018,4.0,3.0,4.0,4,yes,,,,A320
2018-08-25,10,Malaysia,Trip Verified,"""overall experience was amazing""","Langkawi to Kuala Lumpur. My last experience with AirAsia was way back in 2012 to Sabah. This time, for a 1 hour flight I could say that I'm quite impressed. Ground service was good, even though I used self check in, staff assisted me in putting on my baggage tag. They redirected me smoothly and was quite helpful when I encountered a problem. This time around, I took this opportunity to survey on ""Allstars"", something which AirAsia is proud about and I wanted to see it for myself. Upon boarding, flight attendant greeted warmly, safety procedures were done (flight attendant did not smile, at least she looks serious), one passenger made a fuss and the stewardess handled it quickly and efficiently. Flight experience was good, take-off was smooth and views were fantastic. Even saw a rainbow for a moment over the clouds! I pre-ordered a meal and when I had some left over, they offered to tapao (take away) for me! Kudos for the Malaysian slang. Had two kids sitting next to me, so I helped them fasten their seatbelts, steward thanked me with a smile(I did not expect that!) Unfortunately, Roki was not working so in flight entertainment is boring. Landing was good, flight on time and had 2 captains for that flight. Overall experience was amazing for an LCC. Highly recommended!",Solo Leisure,Economy Class,Langkawi,Kuala Lumpur,,July 2018,3.0,5.0,5.0,5,yes,5.0,2.0,2.0,A320
2018-08-13,6,Italy,Trip Verified,"""really polite and friendly""","Bangkok to Hat Yai, it´s a cheap and low cost airline, I have to say the ground staff and the cabin crew was every time really polite and friendly. Of course there are not many amenities or complimentary services but for the price I paid, the only thing which should be improved is the legroom space, this was really narrow, but this was ok for a two hours flight.",Solo Leisure,Economy Class,Bangkok,Hat Yai,,March 2018,1.0,5.0,4.0,5,yes,,,,A320-200
2018-08-11,6,Malaysia,Trip Verified,"""staff really friendly and helpful""","Kuala Lumpur to Bali. As usual, online check-in for Airasia is available, until the last 24 hours before the flight. Departing to the flight is seamless and ground staff were helpful. When the plane leaving the aerobridge, there were some passengers that still stand at aisle and not on their seat, and pretty sure that is dangerous. During the flight, staff were really friendly and helpful. There were some turbulence during the flight, but no big deal. However, pre-booked meal that I had was terrible. Spiral pasta with sausages was plain and sad. Not recommended.",Solo Leisure,Economy Class,Kuala Lumpur,Bali,,August 2018,3.0,3.0,2.0,3,yes,1.0,,,A320-200
2018-08-02,1,United States,Trip Verified,"""food or drink should be paid""",As a low-cost airline AirAsia has no entertainment and food or drink should be paid on the flight. I found the leg space insufficient for a person who is 5’10” or more. I hope AirAsia provides better services to customers in the near future.,Couple Leisure,Economy Class,Kuala Lumpur,Bali,,July 2018,1.0,4.0,3.0,2,no,1.0,,,
2018-08-01,5,Philippines,Trip Verified,"""no clearance for my knees""","Kuala Lumpur to Manila. The first flight to Malaysia was fine, no problems. The return to Manila was terrible! I am 6' 2"" and I had no clearance for my knees.  This was not a planned trip. I have been in Philippines for 3 years and had to leave, for a silly rule. and come back again, so it was just a quick trip, away and back. For an international flight the seat configuration was uncalled for.",Solo Leisure,Economy Class,Kuala Lumpur,Manila,,July 2018,1.0,5.0,3.0,5,yes,,,,
2018-07-17,7,Malaysia,Trip Verified,"""Self check-in  not available""","Jakarta to Kuala Lumpur. Self check-in machines are not available across the airport, but it is only available in the Airasia check-in counter section, which requires a bit of walking. This same goes to the boarding gate which is quite far. I hope Airasia could get a better spot of it.",Solo Leisure,Economy Class,Jakarta,Kuala Lumpur,,July 2018,3.0,4.0,3.0,3,yes,,,,
2018-07-17,7,Malaysia,Trip Verified,"""Check-in went well""","Kuala Lumpur to Jakarta. Check-in went well, as there are many self check-in machines in the KLIA2 airport. Boarding was relatively on-time and there was no issue. The best part is when landing in Jakarta, since Airasia is now operating in the new airport where they provide better services.",Solo Leisure,Economy Class,Kuala Lumpur,Jakarta,,July 2018,3.0,4.0,3.0,3,yes,,,,
2018-07-16,1,Japan,Trip Verified,"""poor customer service""","Very disappointed with Air Asia as a frequent flyer after last experience. Online check-in had errors and glitches which did not allow me to checkin early, charged 40,000 yen at airport. Showed pictures of website glitches and errors, airline does not care or understand. Then I was accidentally tripled charged on my return flight baggage. Had 5 transactions for baggage totaling over $800 USD! My two tickets cost only around $700. Was refunded for some of the excess charges, however such a hassle and online help and calling is very time consuming and stressful and not user friendly. I figured if I provided pictures and explained my problems the airline would understand the online checkin and website had experienced problems and was not working properly. Poor customer service using live chat and submitting cases on issues, just replied back with automated answers. Like talking to a computer. Nobody should have to get charged over $800 USD and worry about 5 charges for 2 small check-in bags, especially unauthorized charges. Very disappointed and will never fly again because of airlines poor recognition of the problem, poor customer service and failure to refund a small cost that should never of happened. Nobody should have to go through that stress while on vacation!",Couple Leisure,Economy Class,Narita,Phuket,Bangkok,July 2018,1.0,2.0,1.0,1,no,,,,
2018-07-11,9,France,Not Verified,"""never known any problems""","Bangkok to Kuala Lumpur. As usual, Air Asia is a serious and comfortable company. The prices are very interesting, I have always used this company for 10 years from Bangkok to different destinations in Asia. I have never known any problems, continue like that, thank you. FR: Comme d'habitude, Air Asia est une compagnie sérieuse et confortable. Les prix proposés sont très intéressant, j'utilise toujours depuis 10 ans cette compagnie depuis Bangkok vers différentes destinations en Asie. Je n'ai jamais connu le moindre problèmes, continuer comme cela, merci.",Solo Leisure,Economy Class,Bangkok,Kuala Lumpur,,August 2017,4.0,4.0,4.0,4,yes,3.0,,,A320
2018-07-10,7,Malaysia,Trip Verified,"""without any hassle""","Kuala Namu to Kuala Lumpur. As usual, Air Asia always provide smooth experience without any hassle from check-in until departure. However, Airasia is now implemented a strict 7kg policy where cabin baggage has to be strictly only up to 7kg, or else it would be charge expensively.",Solo Leisure,Economy Class,Kuala Namu,Kuala Lumpur,,July 2018,3.0,4.0,4.0,3,yes,,,,
2018-06-27,10,United States,Trip Verified,"""had three seats to myself""",On the 5th June I travelled on Air Asia from Kuala Lumpur to Colombo. The plane was an Airbus 320 and very comfortable. I was able to get a lot of rest during the 3.5 hour flight. I had three seats to myself.,Solo Leisure,Economy Class,Kuala Lumpur,Colombo,,June 2018,5.0,5.0,5.0,5,yes,,,,A320
2018-06-27,10,United States,Trip Verified,"""must have been a good flight""",On the 21st June I had a flight on Air Asia from Colombo to Kuala Lumpur. It was a red eye flight and we arrived around 5am in the morning. I had to clear customs although I had a flight on Air Asia in the evening. The time went very quickly so it must have been a good flight. I was able to stretch out and get some rest.,Solo Leisure,Economy Class,Colombo,Kuala Lumpur,,June 2018,5.0,5.0,5.0,5,yes,,,,A320
2018-06-25,8,Hong Kong,Trip Verified,"""Very good experience""","Hong Kong to Kuala Lumpur. Very good experience, bought the premium flex package and still cheaper than other airline e.g. Cathay Dragon. Also you can enjoy a better flight experience than the traditional airline. The lounge is good too. It is a good place for you the relax.",Family Leisure,Economy Class,Hong Kong,Kuala Lumpur,,May 2018,5.0,4.0,4.0,5,yes,5.0,,,
2018-06-15,7,Malaysia,Trip Verified,"""Boarding of the plane was smooth""","An hour flight with AirAsia was pretty worth it. Boarding of the plane was smooth. Stewards were really friendly and the pre-booked meal that I had which was Green Thai Curry was okay. But Nasi Lemak and Chicken Rice is way better. Overall, good experience from a low-cost airlines by AirAsia as usual.",Solo Leisure,Economy Class,Kuala Lumpur,Singapore,,June 2018,3.0,3.0,3.0,3,yes,3.0,,,
2018-05-27,7,Singapore,Trip Verified,"""flight with AirAsia was a good one""","My flight with AirAsia was from Singapore to Penang. Boarding was slow but we reached Penang before the scheduled arrival time. Cabin crew were friendly and were eager in helping passengers but they could have shown more warmth by smiling more. Seat was okay. Overall, the flight with AirAsia was a good one.",Family Leisure,Economy Class,Singapore,Penang,,May 2018,3.0,4.0,3.0,4,yes,,,4.0,A320
2018-05-18,7,Indonesia,Trip Verified,"""love to fly AirAsia again""","Surabaya to Kuala Lumpur. As what I am expected from AirAsia low-cost airlines, decent service and flight are always present in the whole experience. The time of flight departure is quite accurate. One of the hassle is the flight is getting strict with their 7kg cabin baggage rule. The seat is quite comfy, in comparison with other low-cost airlines. The interior is more vibrant compare to the others. I experienced no turbulence, as what I remember during the flight. Overall, would love to fly with AirAsia again.",Solo Leisure,Economy Class,Surabaya,Kuala Lumpur,,May 2018,3.0,3.0,4.0,4,yes,,,,
2018-05-17,1,Hong Kong,Trip Verified,"""I end up with normal seat""","Hong Kong to Phuket. I booked the premium flex ticket to get good leg room. I was advised that this type of ticket allowed me to change my flight date at an extra charge.  I needed to change my flight date more than a month before flight date. I tried for days to access my booking on Airasia homepage and when the page finally allowed me to login (I had correct login credentials, the page just didnt work for days) it said I had no booking. Finally I had to call their customer service to have the flight changed instead. At customer support I explained that I needed to change my flight and was told that I had to sit on a standard seat. I asked if it could be solved. They didnt even try to have it sold but just said no. I end up with normal seat instead. I then asked for a refund since I was no longer getting what I paid for. Instead I was asked to pay 1500HKD extra for the change of the flight. I had known about this rule before, but I still asked for compensation due to not getting what I paid for. Also I later found out that if I had booked a new ticket instead of using my return ticket the cost of the new ticket would have been 1700HKD. That is 200HKD more than the fee I had to pay for changing my return ticket, but still several hundred HKD less than what I paid in upgrade for the premium flex ticket I had originally purchased.",Family Leisure,Economy Class,Hong Kong,Phuket,,February 2018,1.0,1.0,1.0,1,no,,,,
2018-05-14,10,United Kingdom,Trip Verified,"""could not ask for more""","Kuala Lumpur to Yangon. Flight on time, cabin crew friendly, pre-ordered meal arrived on time and hot, additional purchase prices for beverages are reasonable, pilots are informative, and your seats can recline on this budget airline in the newest aircraft. The fare is also very competitive. I could not ask for more. The only downside is KLIA2, low cost airport which is a shame, but this is not airline's fault.",Solo Leisure,Economy Class,Kuala Lumpur,Yangon,,May 2018,4.0,5.0,5.0,5,yes,5.0,,,A320neo
2018-05-10,1,United States,Trip Verified,"""wanted to charge me for luggage""","Kansai to Ho Chi Minh City via KL. Very bad experience with luggage. They wanted to charge me $US 520 for one luggage of 23kg for an air fare of $US148. After arguing with them, brought the weight down to 19kg and coat $330. Will never fly Air Asia again",Solo Leisure,Economy Class,Kansai,Ho Chi Minh City,KL,November 2017,4.0,4.0,1.0,1,no,3.0,,,A320
2018-05-05,7,Indonesia,Trip Verified,"""will fly AirAsia again""","Miri to Kota Kinabalu by AirAsia. Booking and Check In were easy. Flight departed and arrived on time. Since it was less than an hour flight, flight attendants did not really sell a food on board, meanwhile i really wanted to order. they only served passenger with prebooked meal. However, definitely i will fly AirAsia again.",Solo Leisure,Economy Class,Miri,Kota Kinabalu,,April 2018,3.0,3.0,5.0,5,yes,,,,A320-200
2018-05-05,8,Japan,Trip Verified,"""The staff were lovely""","Went on an overnight flight from Osaka to Don Mueang Bangkok. The staff were lovely. One flight attendant in particular was very cheerful and made everyone laugh (and even applaud) as he sang in Thai over the intercom. Flight attendants are usually a little robotic so it was nice that the whole team seemed to be having fun on this one. I have found AirAsia flights to be very cold, so bring some layers!",Solo Leisure,Economy Class,Osaka Kansai,Bangkok,,April 2018,3.0,5.0,4.0,4,yes,,,,
2018-05-04,2,United States,Trip Verified,"""check to see if baggage is included""","Siem Reap to Taipei via Kuala Lumpur. Always check to see if baggage is included. I checked in for my flight online and did not see any information about baggage.  I assumed since I was flying international maybe they would not charge for baggage. I am very aware that they are a budget airline but I did not see a place to purchase baggage while checking in or I would have. I think you must have to pay for baggage when you purchase your ticket. Their staff at the Siem Reap International Airport was unprofessional and very unaccommodating, “we are a budget airline” is what they kept telling me when I asked why I was being charged for my check-in luggage. The baggage cost me $80 USD, it was only 11kg. The cabin service was just fine.",Solo Leisure,Economy Class,Siem Reap,Taipei,Kuala Lumpur,April 2018,3.0,4.0,1.0,1,no,1.0,,,
2018-04-23,8,United States,Trip Verified,AirAsia customer review,"Jakarta to Denpasar. First time to Bali and bought these tickets on this airline based on price, did not really do any research before hand. The service on this airline was fine, I really had no complaints, the flight left on time, the seats were fine for the short flight that it was and the employees at check in and in the airplane were very nice. My only complaint is that due to my age and bad legs, boarding was done having to go down steps from the terminal to the tarmac and then up the stairs to the airplane. Similar situation upon arriving in Denpasar. Not the end of the world, just that those behind me had to suffer with my lack of speed down and up the stairs.",Couple Leisure,Economy Class,Jakarta,Denpasar,,May 2017,4.0,5.0,4.0,5,yes,3.0,,,A320-200
2018-04-21,1,Thailand,Trip Verified,"""pay for beverage or snack""","Chiang Mai to Bali via Kuala Lumpur. We needed to pay close to 4,000 baht just to check in our bag (weighing 23 kg). When we got on the flight the seats were so close together. They expect you to pay for any sort of beverage or snack during the flight- this includes water. On the way back, we decided to try to skip the hidden baggage fees and pay for it online, only we couldn't. Every time we tried to do so, we were met with the warning that their site was experiencing a 'glitch' and that we had to do this at the airport.",Couple Leisure,Economy Class,Chiang Mai,Bali,Kuala Lumpur,April 2018,1.0,1.0,1.0,1,no,,,,
2018-04-18,7,Australia,Trip Verified,"""I enjoyed my flight""","Kuala Lumpur to Sandakan. I enjoyed my flight. Check in, given KLIA 2 is such a hectic airport, was not too bad. The flight was quite punctual as well. The prepaid food I ordered was quite tasty. Much better in fact then Jetstar. The staff were efficient and helpful as well.",Solo Leisure,Economy Class,Kuala Lumpur,Sandakan,,March 2018,3.0,4.0,4.0,4,yes,3.0,,,
2018-04-12,3,Australia,Trip Verified,"""no space for your legs""","On board you don't get a meal unless you buy it before hand or on board but they will refuse to serve you a glass of water. On the first occasion I have been lucky enough to get a glass of hot water, on the second attempt I have been asked to buy a bottle, but unless you have MYR with you or a credit card you won't be able to get any water. PA s never stop, On one flight i have counted 25 that drive you crazy, trying to get you to buy any sort of things. You can just notice how they save and make money looking at the aircraft: one of them on the inside was covered with advertisements even on the table and the hand luggage compartment. Emergency doors they have two rows of seats on the immediate left and right of them, the so called 'vip seats' where for an extra 20 dollars you have extra leg space. If you are unlucky to seat on row 11 in front of them, your seat will not recline and if you are tall 1.90m like my husband and someone reclines the seat in front of you, you have no space for your legs.",Couple Leisure,Economy Class,Bangkok,Kuala Lumpur,,April 2018,1.0,1.0,4.0,1,no,1.0,,,
2018-04-05,1,United States,Trip Verified,"""this is a bus with wings""","Don’t recommend. Originally flight from Jakarta to Singapore was canceled and we were rebooked 5 hours later. Multiple calls to support went unanswered. No response after two days to email ticket created through their support website. No response on Twitter. Service desk at CGK was vacant. Let the ads on the carry-on overhead bins be a signal: this is a bus with wings, so expect all the qualities of a bus company, not an airline.",Couple Leisure,Economy Class,Jakarta,Singapore,,April 2018,2.0,1.0,1.0,1,no,,,,A320-200
